ID,HOUSE_NUMBER,PRE_DIR,STREET_NAME,STREET_TYPE,FULL_ADDRESS_RANGE,BUILDING_NAME1,BUILDING_NAME2,MONTH_VIEW,TOTAL_ROOF_SQFT,VEGETATED_SQFT,FACT_SHEET,LATITUDE,LONGITUDE,LOCATION
287,100,N,COLUMBUS,DR,100-100 N COLUMBUS DR,JAY PRITZKER PAVILLION, ,August 2010,1010186,394024,https://gisapps.cityofchicago.org/gisimages/Greenroofs/VR_287.pdf,41.8825693,-87.62244102,"(41.88256930, -87.62244102)"
293,22,W,WASHINGTON,ST,22-22 W WASHINGTON ST, , ,August 2010,128566,18594,https://gisapps.cityofchicago.org/gisimages/Greenroofs/VR_293.pdf,41.88363727,-87.62874919,"(41.88363727, -87.62874919)"
166,117,N,JEFFERSON,ST,117-119 N JEFFERSON ST, , ,August 2010,17862,7500,https://gisapps.cityofchicago.org/gisimages/Greenroofs/VR_166.pdf,41.88382948,-87.64231624,"(41.88382948, -87.64231624)"
078,104,N,DAMEN,AVE,104-104 N DAMEN AVE, , ,August 2010,10355,4689,https://gisapps.cityofchicago.org/gisimages/Greenroofs/VR_078.pdf,41.88390341,-87.67642383,"(41.88390341, -87.67642383)"
307,100,N,CLARK,ST,100-118 N CLARK ST,CITY HALL & COUNTY BUILDING, ,August 2010,115511,35157,https://gisapps.cityofchicago.org/gisimages/Greenroofs/VR_307.pdf,41.88396929,-87.6318817,"(41.88396929, -87.63188170)"
169,78,E,WASHINGTON,ST,78-78 E WASHINGTON ST,CHICAGO CULTURAL CENTER, ,August 2010,56605,25348,https://gisapps.cityofchicago.org/gisimages/Greenroofs/VR_169.pdf,41.88399508,-87.6249077,"(41.88399508, -87.62490770)"
165,659,W,RANDOLPH,ST,659-659 W RANDOLPH ST,R+D659, ,August 2010,28885,6955,https://gisapps.cityofchicago.org/gisimages/Greenroofs/VR_165.pdf,41.88408406,-87.64449485,"(41.88408406, -87.64449485)"
170,190,N,GARLAND,CT,190-190 N GARLAND CT,THE HERITAGE AT MILLENIUM PARK, ,August 2010,42181,10844,https://gisapps.cityofchicago.org/gisimages/Greenroofs/VR_170.pdf,41.88410164,-87.62572178,"(41.88410164, -87.62572178)"
079,1959,W,MAYPOLE,AVE,1959-1959 W MAYPOLE AVE, , ,August 2010,10968,3706,https://gisapps.cityofchicago.org/gisimages/Greenroofs/VR_079.pdf,41.88429984,-87.67568531,"(41.88429984, -87.67568531)"
080,1901,W,MAYPOLE,AVE,1901-1901 W MAYPOLE AVE, , ,August 2010,10345,1938,https://gisapps.cityofchicago.org/gisimages/Greenroofs/VR_080.pdf,41.88431628,-87.67472299,"(41.88431628, -87.67472299)"
346,62,E,RANDOLPH,ST,62-62 E RANDOLPH ST, , ,August 2010,6647,1968,https://gisapps.cityofchicago.org/gisimages/Greenroofs/VR_346.pdf,41.8847955,-87.62565169,"(41.88479550, -87.62565169)"
077,1989,W,LAKE,ST,1989-1989 W LAKE ST, , ,August 2010,8259,3831,https://gisapps.cityofchicago.org/gisimages/Greenroofs/VR_077.pdf,41.88485068,-87.6760322,"(41.88485068, -87.67603220)"
345,66,E,RANDOLPH,ST,66-66 E RANDOLPH ST, , ,August 2010,6290,4599,https://gisapps.cityofchicago.org/gisimages/Greenroofs/VR_345.pdf,41.88491504,-87.62545574,"(41.88491504, -87.62545574)"
140,567,W,LAKE,ST,567-567 W LAKE ST, , ,August 2010,32097,30121,https://gisapps.cityofchicago.org/gisimages/Greenroofs/VR_140.pdf,41.88539594,-87.64223325,"(41.88539594, -87.64223325)"
