Event,Start Time,End Time,Address,Description,Web Page,Event Type,Audience,Recurring Event
Baton Show Lounge Anniversary,03/14/2018 06:00:00 PM,03/14/2018 09:00:00 PM,438 N. Clark Street,Anniversary Reception and Show,,,Adult | LGBTQ,No
"LGBT Chamber of Commerce ""Celebration of Black LGBT Business Excellence""",02/22/2018 06:00:00 PM,02/22/2018 09:00:00 PM,305 E Garfield Blvd,Panel discussion of Black LGBT businesses,,Panel Discussion,LGBTQ,No
Lawndale Cinema - Black Panther Screening and Community Mixer/Health Fair,02/15/2018 04:00:00 PM,02/15/2018 08:00:00 PM,3330 W. Roosevelt Rd.,Health Fair during reception period prior to and during the screening.,,Health Fair,Adult | Children | LGBTQ | Seniors,No
Chicago LGBTQA Black History Recognitions,02/23/2018 06:00:00 PM,02/23/2018 08:00:00 PM,3831 S. Michigan Avenue,"Highlighting and uplift individuals, allies and entities within the Black LGBTQ community of Chicago, who utilize their platform to advance the rights, image, knowledge, perception and spirit of the LGBTQ community and therefore the public at large.",,Recognitions,LGBTQ,No
BTAN Chicago Meeting,03/13/2018 01:30:00 PM,03/13/2018 04:00:00 PM,4314 S. Cottage Grove,Discussing the new funding guidelines/requirements for service providers seeking monies from the Chicago Department of Public Health (CDPH,,Training,Adult | Children | LGBTQ | Seniors,Yes
Quiet Storm: The Art & Times of Black LGBTQ Life,02/01/2018 06:00:00 PM,02/01/2018 09:00:00 PM,3656 N. Halsted,Overview of Black LGBTQ Art and Lifestyle,,LGBTQ,Adult | LGBTQ,No
Center on Halsted Gala,04/21/2018 05:30:00 PM,04/21/2018 09:00:00 PM,2520 S Hoyne,"Center on Halsted hosts its annual Human First Gala to recognize the contributions of individuals, businesses and other organizations to the lesbian, gay, bisexual, transgender and queer community in Chicago.",http://www.centeronhalsted.org/hf/,,LGBTQ,No
Presence Health Open House Celebration,03/21/2018 05:00:00 PM,03/21/2018 07:00:00 PM,9015 S. Harper Av.,"Please join us to see the shared vision we created together for a healthier community on Chicago South Side. Thank you for sharing your ideas on how we can improve health and wellness. Unveiling of the Community Vision and the designs for the renovated clinic begins at 5:45 pm. RSVP: Suggested to Susan Campbell
Appetizers and drinks will be served.",,Open House/Meet and Greet,Adult | LGBTQ | Seniors,No
CAHISC's Community Development and Engagement Committee Meeting,03/08/2018 12:00:00 PM,03/08/2018 02:00:00 PM,333 S. State St.,Planning activities for CAHISC's Community Development and Engagement Committee. Activities tied to HIV Integrated Services in the Chicago Eligible Metropolitan Area.,,HIV Planning Efforts,Adult | LGBTQ | Seniors,No
CAHISC's Membership Committee Meeting,03/09/2018 10:00:00 AM,03/09/2018 12:00:00 PM,333 S State St.,Planning activities for CAHISC's Membership Committee. Planning for HIV integrated services in the Chicago Eligible Metropolitan Area.,,Planning Meeting,Adult | LGBTQ | Seniors,No
CAHISC Full Body Meeting,03/28/2018 09:00:00 AM,03/28/2018 12:00:00 PM,525 S State Street,Planning activities for CAHISC. Planning activities for HIV integrated services in the Chicago Eligible Metropolitan Area.,,Council Meeting,Adult | LGBTQ | Seniors,No
CAHISC's Housing Committee Meeting,03/21/2018 10:00:00 AM,03/21/2018 12:00:00 PM,333 S State St.,Planning activities for CAHISC's Housing Committee. Planning activities for HIV integrated services in the Chicago Eligible Metropolitan Area.,,Council Meeting,Adult | LGBTQ | Seniors,No
LGBTQ Advocacy Day,04/11/2018 08:00:00 AM,04/11/2018 12:00:00 AM,"401 S. 2nd Street, Springfield, IL 62756","Lobbying for LGBTQ awareness and rights in Springfield, Illinois",,,LGBTQ,No
Fitness 4 Kids Health Fair,07/14/2018 09:00:00 AM,07/14/2018 01:30:00 PM,"1116 North Kedzie Ave. Chicago,Il 60651","Resource and Health fair, hosted by Association House of Chicago. Free health screenings, raffles, health snacks and physical activities.",,Health Fair,Adult | Children | LGBTQ | Seniors | Teens,No
"CDPH/DFSS, Care Van at Trina Davila Center",03/26/2018 09:00:00 AM,03/26/2018 01:00:00 PM,4300 West North Avenue,"The Care van will be providing immunizations inside Trina Davila center. Services are provided at a sliding scale fee ($0 - $128) depending on income, We accept Medicare, Medicaid and private insurance. HMO patients are referred to their primary providers.",,Care Van,Adult | Children | LGBTQ | Seniors | Teens,No
Summer of Opportunity,06/22/2018 12:00:00 PM,06/22/2018 04:00:00 PM,"Columbus Park; 500 S. Central Ave., Chicago, IL","The City of Chicago is facing some very challenging times in navigating the issue of youth violence. Our elected leaders, along with many of our community organizations, are working together to address the ongoing, and senseless tragedies. As part of that commitment, we are working alongside many community agencies and corporate partners on a free community event called, Summer of Opportunity, set for Friday June 22nd.",,Festival,Adult | Children | LGBTQ | Seniors,No
CareVan at the Mexican Consulate,04/02/2018 09:00:00 AM,04/02/2018 01:00:00 PM,204 South Ashland,"The Care van will be providing immunizations at the Mexican Consulate. Services are provided at a sliding scale fee ($0 - $128) depending on income, We accept Medicare, Medicaid and private insurance. HMO patients are referred to their primary providers.",,Care Van,Adult | Children | LGBTQ | Seniors,No
Mayor Rahm Emanuel's Summer in Chicago Children and Youth Resource Fair,04/21/2018 10:00:00 AM,04/21/2018 01:00:00 PM,513 West 72nd Street,"This event will provide young people, ages 6 to 24, and their families the opportunity to explore the many enrichment and employment programs available to keep children and teens safe, engaged and thriving.",,Resource Fair,Adult | Children | LGBTQ | Teens,No
Mayor Rahm Emanuel's Summer in Chicago Children and Youth Resource Fair,04/28/2018 10:00:00 AM,04/28/2018 01:00:00 PM,5917 North Broadway St.,"This event will provide young people, ages 6 to 24, and their families the opportunity to explore the many enrichment and employment programs available to keep children and teens safe, engaged and thriving.",,Resource Fair,Adult | Children | LGBTQ | Teens,No
Mayor Rahm Emanuel's Summer in Chicago Children and Youth Resource Fair,04/14/2018 10:00:00 AM,04/14/2018 01:00:00 PM,1401 South Sacramento Dr.,"This event will provide young people, ages 6 to 24, and their families the opportunity to explore the many enrichment and employment programs available to keep children and teens safe, engaged and thriving.",,Resource Fair,Adult | Children | LGBTQ | Teens,No
Chicago Moves Day,05/02/2018 11:00:00 AM,05/02/2018 01:30:00 PM,"Federal Plaza (50 W Adams St. Chicago, IL 60604)","Chicago Moves Day is a citywide initiative to motivate Chicagoans of all ages to get moving. This event will highlight the many fitness and wellness opportunities across the city through workouts on the main stage, fitness and health screenings, nutrition and product sampling, and more!",,Festival | Health Fair,Adult | Children | LGBTQ | Seniors | Teens,No
