Tow Date,Make,Style,Model,Color,Plate,State,Towed to Address,Tow Facility Phone,Inventory Number
11/21/2018,PONT,4D,,TAN,151U626,IL,701 N. Sacramento,(773) 265-7605,6939847
11/21/2018,LINC,4D,,SIL,576890,IL,10300 S. Doty,(773) 568-8495,2863786
10/21/2018,FORD,4D,,GRN,783350,IL,701 N. Sacramento,(773) 265-7605,6937646
09/21/2018,PLYM,4D,,WHI,AS81598,IL,10300 S. Doty,(773) 568-8495,2859521
11/22/2018,NISS,4D,,BGE,BA79913,IL,701 N. Sacramento,(773) 265-7605,6939885
10/22/2018,GMC,LL,TK,TAN,AKZ379,IN,10300 S. Doty,(773) 568-8495,2861710
11/22/2018,TOYT,4D,,DBL,9031916,IL,701 N. Sacramento,(773) 265-7605,6939887
11/22/2018,PONT,4T,,WHI,AN77010,IL,10300 S. Doty,(773) 568-8495,2863888
11/22/2018,HOND,2T,,GLD,AD52879,IL,10300 S. Doty,(773) 568-8495,2863892
11/22/2018,PONT,2T,,SIL,AT82390,IL,10300 S. Doty,(773) 568-8495,2863891
11/22/2018,CHEV,4D,,GRY,,,10300 S. Doty,(773) 568-8495,2863894
11/21/2018,PONT,4D,,SIL,895WLW,IN,701 N. Sacramento,(773) 265-7605,6939849
11/20/2018,CHEV,PK,TK,RED,,IL,10300 S. Doty,(773) 568-8495,2863743
09/21/2018,BUIC,4D,,TAN,880251,IL,701 N. Sacramento,(773) 265-7605,6934942
10/19/2018,LEXS,4D,,GLD,AJ55529,IL,701 N. Sacramento,(773) 265-7605,6937419
10/22/2018,KAWK,MC,,BLU,,IL,701 N. Sacramento,(773) 265-1846,1537932
11/14/2018,CHEV,4D,,GLD,,IL,701 N. Sacramento,(773) 265-7605,6939235
09/22/2018,DODG,4D,,MAR,C174394,IN,10300 S. Doty,(773) 568-8495,2859533
11/18/2018,CHEV,4D,,SIL,,IL,701 N. Sacramento,(773) 265-7605,6939678
11/21/2018,VOLV,4D,,BLU,V104214,IL,10300 S. Doty,(773) 568-8495,2863804
09/22/2018,HOND,4D,,GRN,AV93254,IL,10300 S. Doty,(773) 568-8495,2859538
10/17/2018,DODG,4D,,RED,478370,IL,701 N. Sacramento,(773) 265-7605,6937175
09/22/2018,CHEV,4D,,GRY,AH84479,IL,10300 S. Doty,(773) 568-8495,2859541
11/21/2018,FORD,VN,,WHI,X310808,IL,701 N. Sacramento,(773) 265-1846,1538040
11/21/2018,NISS,VN,TK,WHI,254572,IL,701 N. Sacramento,(773) 265-7605,6939862
09/22/2018,NISS,LL,,LGR,131665,IL,701 N. Sacramento,(773) 265-7605,6935008
09/22/2018,CHEV,4T,,BLK,Z75208,IL,701 N. Sacramento,(773) 265-7605,6934992
11/20/2018,HYUN,LL,,BLK,,IL,10300 S. Doty,(773) 568-8495,2863769
11/20/2018,CHRY,VN,,MAR,295955,IL,10300 S. Doty,(773) 568-8495,2863767
11/20/2018,CHRY,VN,,WHI,,IL,10300 S. Doty,(773) 568-8495,2863765
11/20/2018,TOYT,4D,,GRY,AH33886,IL,10300 S. Doty,(773) 568-8495,2863766
10/21/2018,PONT,VN,,BLU,,IL,10300 S. Doty,(773) 568-8495,2861695
10/21/2018,HOND,4D,,GRY,,IL,10300 S. Doty,(773) 568-8495,2861697
11/20/2018,DODG,4D,,TAN,252346,IL,10300 S. Doty,(773) 568-8495,2863761
10/22/2018,FORD,4D,,WHI,E826794,IL,10300 S. Doty,(773) 568-8495,2861702
11/20/2018,CHEV,4D,,WHI,,IL,10300 S. Doty,(773) 568-8495,2863763
10/22/2018,CHEV,4D,,GRY,698151,IL,10300 S. Doty,(773) 568-8495,2861700
11/20/2018,FORD,4D,,MAR,,IL,10300 S. Doty,(773) 568-8495,2863758
11/21/2018,FORD,4D,,BLK,H407866,IL,10300 S. Doty,(773) 568-8495,2863789
09/21/2018,DODG,4D,,GRY,L119143,IL,701 N. Sacramento,(773) 265-7605,6934938
11/21/2018,CHEV,LL,,GRN,852008,IL,10300 S. Doty,(773) 568-8495,2863788
10/21/2018,CHEV,4D,,GRY,,IL,10300 S. Doty,(773) 568-8495,2861690
11/21/2018,CHEV,4D,,SIL,AL57572,IL,10300 S. Doty,(773) 568-8495,2863787
10/18/2018,HOND,SW,,WHI,00178038,IL,701 N. Sacramento,(773) 265-7605,6937247
10/18/2018,CHEV,PK,,RED,AV35966,IL,701 N. Sacramento,(773) 265-7605,6937267
10/18/2018,CHEV,VN,,WHI,1289314B,IL,701 N. Sacramento,(773) 265-7605,6937265
10/18/2018,FORD,4D,,RED,Q845127,IL,10300 S. Doty,(773) 568-8495,2861468
10/21/2018,CHEV,4D,,BLU,AP17940,IL,10300 S. Doty,(773) 568-8495,2861686
11/22/2018,FORD,4D,,GRY,H454729,IL,701 N. Sacramento,(773) 265-7605,6939879
10/22/2018,PONT,VN,TK,GRY,AU88220,IL,10300 S. Doty,(773) 568-8495,2861719
10/22/2018,FORD,4D,,BLK,AQ44167,IL,701 N. Sacramento,(773) 265-7605,6937668
10/22/2018,INFI,4D,,WHI,AP48224,IL,10300 S. Doty,(773) 568-8495,2861716
10/22/2018,VOLK,4D,,WHI,AD14547,IL,10300 S. Doty,(773) 568-8495,2861717
10/22/2018,AUDI,LL,,GRY,JVAZ76,FL,701 N. Sacramento,(773) 265-7605,6937673
11/21/2018,ACUR,LL,,BLK,725780,IL,10300 S. Doty,(773) 568-8495,2863791
11/21/2018,DODG,LL,,SIL,L764584,IL,10300 S. Doty,(773) 568-8495,2863793
09/21/2018,FORD,LL,TK,BLU,Z786099,IL,10300 S. Doty,(773) 568-8495,2859526
09/21/2018,CHEV,4D,,SIL,E805863,IL,10300 S. Doty,(773) 568-8495,2859525
11/21/2018,CHRY,VN,TK,BLU,2918124,IL,701 N. Sacramento,(773) 265-7605,6939851
11/21/2018,NISS,4D,,BLU,AD50908,IL,10300 S. Doty,(773) 568-8495,2863792
11/21/2018,FORD,,TK,BLK,695KGG,MN,701 N. Sacramento,(773) 265-7605,6939852
10/17/2018,CHEV,PK,S10,BLK,,IL,10300 S. Doty,(773) 568-8495,2861438
11/21/2018,CADI,4D,,WHI,AP36897,IL,10300 S. Doty,(773) 568-8495,2863794
10/21/2018,CHRY,VN,,SIL,AP47230,IL,10300 S. Doty,(773) 568-8495,2861669
11/21/2018,BMW,4D,,WHI,V394347,IL,10300 S. Doty,(773) 568-8495,2863800
10/18/2018,KIA,4D,,WHI,AP99456,IL,701 N. Sacramento,(773) 265-7605,6937304
10/21/2018,NISS,LL,TK,LBL,209U581,IL,400 E. Lower Wacker,(312) 744-7550,994682
10/21/2018,CHEV,4D,,WHI,AX19559,IL,10300 S. Doty,(773) 568-8495,2861679
09/21/2018,BMW,4D,,BLK,AD14652,IL,701 N. Sacramento,(773) 265-7605,6934936
09/21/2018,LEXS,4D,,GRY,,,701 N. Sacramento,(773) 265-7605,6934944
10/21/2018,LINC,4D,,GRY,238683,IL,701 N. Sacramento,(773) 265-7605,6937637
10/21/2018,CHEV,VN,TK,WHI,8172787,IL,701 N. Sacramento,(773) 265-7605,6937639
10/21/2018,BUIC,4D,,GRY,AS78411,IL,701 N. Sacramento,(773) 265-7605,6937638
09/22/2018,CHEV,LL,,WHI,V464127,IL,701 N. Sacramento,(773) 265-7605,6935022
09/22/2018,CHEV,4D,,GRY,AV16883,IL,701 N. Sacramento,(773) 265-7605,6935000
11/21/2018,TOYT,4T,,WHI,K068647,IL,10300 S. Doty,(773) 568-8495,2863776
10/21/2018,JEEP,LL,TK,SIL,AK57980,IL,10300 S. Doty,(773) 568-8495,2861681
09/22/2018,OLDS,LL,,BGE,EK2390,IL,701 N. Sacramento,(773) 265-7605,6934999
10/21/2018,INFI,4D,,GRY,AV13669,IL,10300 S. Doty,(773) 568-8495,2861682
11/21/2018,CHEV,4D,,TAN,,IL,10300 S. Doty,(773) 568-8495,2863778
10/21/2018,INFI,LL,,SIL,164739,IL,701 N. Sacramento,(773) 265-7605,6937645
10/21/2018,PONT,4D,,BLK,AV76760,IL,10300 S. Doty,(773) 568-8495,2861680
09/22/2018,TOYT,4D,,GRY,Q676655,IL,701 N. Sacramento,(773) 265-7605,6934963
11/21/2018,CHEV,4T,,BLU,,IL,10300 S. Doty,(773) 568-8495,2863777
09/22/2018,CHEV,LL,,MAR,Q894413,IL,701 N. Sacramento,(773) 265-7605,6934968
11/21/2018,HYUN,4T,,RED,,IL,701 N. Sacramento,(773) 265-7605,6939839
11/21/2018,CHEV,LL,,SIL,AW36444,IL,701 N. Sacramento,(773) 265-7605,6939838
11/21/2018,MITS,4D,,RED,,IL,10300 S. Doty,(773) 785-9752,1718725
09/21/2018,CADI,4D,,TAN,AS74577,IL,10300 S. Doty,(773) 568-8495,2859528
10/22/2018,CADI,4D,,GRN,AP37692,IL,701 N. Sacramento,(773) 265-7605,6937660
11/20/2018,DODG,4T,,GRY,341U659,IL,10300 S. Doty,(773) 568-8495,2863770
10/18/2018,TOYT,4D,COA,SIL,AP15349,IL,10300 S. Doty,(773) 568-8495,2861472
10/18/2018,NISS,VN,,GRY,Z802705,IL,701 N. Sacramento,(773) 265-7605,6937275
11/21/2018,CHEV,LL,,BLK,BA36657,IL,701 N. Sacramento,(773) 265-7605,6939845
11/21/2018,CHRY,4D,,WHI,AP98324,IL,701 N. Sacramento,(773) 265-7605,6939842
11/21/2018,JEEP,LL,,GRY,AG48625,IL,10300 S. Doty,(773) 568-8495,2863782
11/21/2018,CADI,4D,,SIL,367U138,IL,701 N. Sacramento,(773) 265-7605,6939840
11/21/2018,OLDS,2D,,SIL,204495,IL,701 N. Sacramento,(773) 265-7605,6939844
11/21/2018,HOND,4D,,GRN,AJ76640,IL,10300 S. Doty,(773) 568-8495,2863807
11/21/2018,MERZ,LL,,SIL,K513973,IL,10300 S. Doty,(773) 568-8495,2863806
11/21/2018,CHEV,4D,,SIL,,IL,10300 S. Doty,(773) 785-9752,1718726
11/21/2018,SUZI,4D,,SIL,E156278,IL,10300 S. Doty,(773) 568-8495,2863846
11/21/2018,PONT,4D,,WHI,172691,IL,10300 S. Doty,(773) 568-8495,2863837
11/21/2018,HOND,2D,,BLK,Y846322,IL,10300 S. Doty,(773) 568-8495,2863843
10/21/2018,AUDI,2D,,BLK,AQ15813,IL,10300 S. Doty,(773) 568-8495,2861665
11/21/2018,HOND,4T,,BLK,,IL,10300 S. Doty,(773) 568-8495,2863775
10/22/2018,KIA,4D,,BLU,BA64690,IL,701 N. Sacramento,(773) 265-7605,6937661
11/20/2018,TOYT,4T,,GRY,AK0615,IN,10300 S. Doty,(773) 568-8495,2863774
11/20/2018,FORD,4T,,TAN,,IL,10300 S. Doty,(773) 568-8495,2863773
11/21/2018,TOYT,4D,,GRN,AN35410,IL,10300 S. Doty,(773) 568-8495,2863817
11/21/2018,SUBA,SW,,WHI,TPM9822,NC,701 N. Sacramento,(773) 265-1846,1538039
11/21/2018,HYUN,4D,,GRY,703242,IL,10300 S. Doty,(773) 568-8495,2863819
11/21/2018,HYUN,4D,,GRY,703242,IL,10300 S. Doty,(773) 568-8495,2863819
10/22/2018,CHEV,4D,,TAN,Z859148,IL,400 E. Lower Wacker,(312) 744-7550,994712
10/19/2018,CHEV,4D,,SIL,727756,IL,701 N. Sacramento,(773) 265-7605,2861543
10/22/2018,DODG,VN,,GRY,AK57896,IL,10300 S. Doty,(773) 568-8495,2861724
10/19/2018,HYUN,4D,,GRY,223U296,IL,10300 S. Doty,(773) 568-8495,2861537
09/21/2018,FORD,4D,,GRY,AW33950,IL,701 N. Sacramento,(773) 265-7605,6934947
09/21/2018,CHEV,4D,,DBL,AQ22580,IL,701 N. Sacramento,(773) 265-7605,6934946
11/21/2018,CHEV,2D,,SIL,,IL,10300 S. Doty,(773) 568-8495,2863780
11/21/2018,KIA,4D,,BLK,ZU27148,IL,10300 S. Doty,(773) 568-8495,2863815
10/21/2018,PONT,CP,,BLK,AS75936,IL,701 N. Sacramento,(773) 265-7605,6937642
10/21/2018,JEEP,LL,,BLK,,IL,10300 S. Doty,(773) 568-8495,2861671
11/21/2018,TOYT,4D,,BLU,AG42505,IL,10300 S. Doty,(773) 568-8495,2863811
11/21/2018,GMC,LL,,BLK,ZU19221,IL,10300 S. Doty,(773) 568-8495,2863816
09/21/2018,TOYT,4T,,BLU,E421047,IL,701 N. Sacramento,(773) 265-7605,6934953
11/21/2018,PONT,2D,,BLK,Z728915,IL,10300 S. Doty,(773) 568-8495,2863814
11/21/2018,FORD,PK,,SIL,2013539B,IL,10300 S. Doty,(773) 568-8495,2863812
11/21/2018,CHEV,4D,,BLK,488421,IL,10300 S. Doty,(773) 568-8495,2863813
11/21/2018,BMW,LL,,BLK,AT54371,IL,701 N. Sacramento,(773) 265-7605,6939853
11/21/2018,SATR,4D,,WHI,,IL,10300 S. Doty,(773) 568-8495,2863824
11/21/2018,BUIC,4D,,TAN,AN93167,IL,10300 S. Doty,(773) 568-8495,2863821
11/21/2018,HYUN,4D,,SIL,ZX23643,IL,10300 S. Doty,(773) 568-8495,2863825
10/22/2018,TOYT,4D,,GRN,ZX73655,IL,10300 S. Doty,(773) 568-8495,2861714
10/18/2018,JEEP,LL,,GRY,AL52052,IL,701 N. Sacramento,(773) 265-1846,1537914
10/22/2018,HOND,4D,,GRY,343857,IL,10300 S. Doty,(773) 568-8495,2861721
11/21/2018,GMC,PK,,RED,2348814B,IL,10300 S. Doty,(773) 568-8495,2863820
11/21/2018,FORD,4D,,BLK,509737,IL,10300 S. Doty,(773) 568-8495,2863863
11/21/2018,HOND,4T,,GRY,AW12352,IL,10300 S. Doty,(773) 568-8495,2863876
09/21/2018,MERC,LL,,RED,AT26682,IL,10300 S. Doty,(773) 568-8495,2859527
10/22/2018,MERZ,LL,,BLK,AW18915,IL,701 N. Sacramento,(773) 265-7605,6937682
09/21/2018,NISS,LL,,TAN,AL54431,IL,701 N. Sacramento,(773) 265-7605,6934948
11/21/2018,TOYT,4D,,WHI,ZY47723,IL,10300 S. Doty,(773) 568-8495,2863827
09/22/2018,LEXS,4D,,WHI,,IL,10300 S. Doty,(773) 568-8495,2859562
09/22/2018,HYUN,4D,,BLK,,IL,10300 S. Doty,(773) 568-8495,2859559
11/21/2018,DODG,4D,,SIL,AV50879,IL,10300 S. Doty,(773) 568-8495,2863828
10/18/2018,HYUN,4D,,SIL,Q254489,IL,701 N. Sacramento,(773) 265-7605,6937317
09/21/2018,HOND,4D,,GRN,,IL,701 N. Sacramento,(773) 265-7605,6934949
10/21/2018,KIA,LL,,BLK,ZU79537,IL,10300 S. Doty,(773) 568-8495,2861677
10/21/2018,HOND,4D,,GRY,,IL,701 N. Sacramento,(773) 265-7605,6937644
11/21/2018,VOLK,4D,,BLK,799697,IL,10300 S. Doty,(773) 568-8495,2863830
